Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,Sp.,Achiasmatic,Male,36,Homomorphic sex chromosomes,,"Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,alienus,Achiasmatic,Male,28,Homomorphic sex chromosomes,,"Adilardi, R.S., Ojanguren-Affilastro, A.A., Gil, S.G.R., Scioscia, C.L. and Mola, L.M., 2013. Meiotic studies in Brachistosternus alienus (Scorpiones; Bothriuridae). The Journal of Arachnology, 41(2), pp.222-226."
Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,ferrugineus,Achiasmatic,Male,46,Homomorphic sex chromosomes,,"Rodríguez-Gil, S.G., Ojanguren-Affilastro, A.A., Barral, L.M., Scioscia, C.L. and Mola, L.M., 2009. Cytogenetics of three species of scorpions of the genus Brachistosternus from Argentina (Scorpiones: Bothriuridae). The Journal of Arachnology, 37(3), pp.331-337."
Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,montanus,Achiasmatic,Male,46,Homomorphic sex chromosomes,,"Rodríguez-Gil, S.G., Ojanguren-Affilastro, A.A., Barral, L.M., Scioscia, C.L. and Mola, L.M., 2009. Cytogenetics of three species of scorpions of the genus Brachistosternus from Argentina (Scorpiones: Bothriuridae). The Journal of Arachnology, 37(3), pp.331-337."
Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,pentheri,Achiasmatic,Male,42,Homomorphic sex chromosomes,,"Rodríguez-Gil, S.G., Ojanguren-Affilastro, A.A., Barral, L.M., Scioscia, C.L. and Mola, L.M., 2009. Cytogenetics of three species of scorpions of the genus Brachistosternus from Argentina (Scorpiones: Bothriuridae). The Journal of Arachnology, 37(3), pp.331-337."
Animalia,Arachnida,Scorpiones,Buthidae,Ananteris,balzanii,Achiasmatic,Male,14,Homomorphic sex chromosomes,,"Mattos, V.F., Cella, D.M., Carvalho, L.S., Candido, D.M. and Schneider, M.C., 2013. High chromosome variability and the presence of multivalent associations in buthid scorpions. Chromosome Research, 21(2), pp.121-136."
Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi,Achiasmatic,Male,24,Homomorphic sex chromosomes,,"Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi amoreuxi,Achiasmatic,Male,24,Homomorphic sex chromosomes,,"Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi levyi,Achiasmatic,Male,24,Homomorphic sex chromosomes,,"Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,australis,Achiasmatic,Male,24,Homomorphic sex chromosomes,,"Š?áhlavský, F., Nguyen, P., Sadílek, D., Štundlová, J., Just, P., Haddad, C.R., Koç, H., Ranawana, K.B., Stockmann, M., Ya?mur, E.A. and Kova?ík, F., 2020. Evolutionary dynamics of rDNA clusters on chromosomes of buthid scorpions (Chelicerata: Arachnida). Biological Journal of the Linnean Society, 131(3), pp.547-565."
Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor,Achiasmatic,Male,24,Homomorphic sex chromosomes,,"Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
