tree_label,display_name,f_kingdom,f_class,f_order,f_family,f_genus,f_species,type_meiosis,type_meiosis_ring,sex_no_recomb_ring,sex_chr_sys,diploid_num
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_ cytotype III,tenuis_ cytotype III,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype III,Achiasmatic,Achiasmatic,Heterogametic,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_ cytotype IV,tenuis_ cytotype IV,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype IV,Achiasmatic,Achiasmatic,Heterogametic,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_ cytotype V,tenuis_ cytotype V,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype V,Achiasmatic,Achiasmatic,Heterogametic,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus,tetrachelatus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus_ cytotype I,tetrachelatus_ cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus_ cytotype I,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus_ cytotype II,tetrachelatus_ cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus_ cytotype II,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|araguayae,araguayae,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,araguayae,Achiasmatic,Achiasmatic,Heterogametic,NA,44
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|rochensis,rochensis,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,rochensis,Achiasmatic,Achiasmatic,Heterogametic,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|Sp.,Sp.,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,Sp.,Achiasmatic,Achiasmatic,Heterogametic,NA,36
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|alienus,alienus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,alienus,Achiasmatic,Achiasmatic,Heterogametic,NA,28
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|ferrugineus,ferrugineus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,ferrugineus,Achiasmatic,Achiasmatic,Heterogametic,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|montanus,montanus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,montanus,Achiasmatic,Achiasmatic,Heterogametic,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|pentheri,pentheri,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,pentheri,Achiasmatic,Achiasmatic,Heterogametic,NA,42
Animalia|Arachnida|Scorpiones|Buthidae|Ananteris|balzanii,balzanii,Animalia,Arachnida,Scorpiones,Buthidae,Ananteris,balzanii,Achiasmatic,Achiasmatic,Heterogametic,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxi,amoreuxi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxi amoreuxi,amoreuxi amoreuxi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi amoreuxi,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxi levyi,amoreuxi levyi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi levyi,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|australis,australis,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,australis,Achiasmatic,Achiasmatic,Heterogametic,NA,24
