Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,NCBI_Standardized_Name
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,heterodactylus,Achiasmatic Meiosis,Male,34,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"ischnocheles, cytotype I",Achiasmatic Meiosis,Male,32,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"ischnocheles, cytotype II",Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,litoralis,Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,litoralis,Achiasmatic Meiosis,Male,36,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,nanus,Achiasmatic Meiosis,Male,26,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,orthodactylus,Achiasmatic Meiosis,Male,34,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,orthodactylus,Achiasmatic Meiosis,Male,34,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,poeninus,Achiasmatic Meiosis,Male,26,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"raridentatus, cytotype I",Achiasmatic Meiosis,Male,30,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"raridentatus, cytotype II",Achiasmatic Meiosis,Male,30,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"rhodochelatus, cytotype I",Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"rhodochelatus, cytotype II",Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 1,Achiasmatic Meiosis,Male,30,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 1,Achiasmatic Meiosis,Male,30,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 2,Achiasmatic Meiosis,Male,22,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp.2,Achiasmatic Meiosis,Male,22,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis,Achiasmatic Meiosis,Male,36,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthonius tenuis
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype I",Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
